algoname	corr_ppv_med74	corr_sen_med74	corr_ppv_min74	corr_sen_min74	corr_ppv_max74	corr_sen_max74	corr_ppv_med328	corr_sen_med328	corr_ppv_min328	corr_sen_min328	corr_ppv_max328	corr_sen_max328	algo_ppv	algo_sen	ppv_74	sen_74	ppv_328	sen_328	ppv_uncorrected	sen_uncorrected	sort	algorithm
1	.72122574	.91209829	.67937219	.85916823	.73467863	.92911154	.86547083	.88262194	.67937219	.69283539	.92301941	.941311	.67937219	.9237805	72.1 (67.9-73.5)	91.2 (85.9-92.9)	86.5 (67.9-92.3)	88.3 (69.3-94.1)	67.9	92.4	1	1
1a	.81434602	.91209829	.76708859	.85916823	.82953584	.92911154	.94430381	.85289633	.76708859	.69283539	.94430381	.85289633	.76708859	.9237805	81.4 (76.7-83.0)	91.2 (85.9-92.9)	94.4 (76.7-94.4)	85.3 (69.3-85.3)	76.7	92.4	2	1a
1b	.83596492	.90075612	.78684211	.84782606	.85175437	.91776937	.94912279	.82469511	.78684211	.683689	.94912279	.82469511	.78684211	.91158539	83.6 (78.7-85.2)	90.1 (84.8-91.8)	94.9 (78.7-94.9)	82.5 (68.4-82.5)	78.7	91.2	3	1b
1c	.87315637	.83931947	.81809241	.78638941	.89085543	.85633272	.95673549	.74161583	.81809241	.63414633	.95673549	.74161583	.81809241	.84552848	87.3 (81.8-89.1)	83.9 (78.6-85.6)	95.7 (81.8-95.7)	74.2 (63.4-74.2)	81.8	84.6	4	1c
1d	.71961224	.91209829	.67785233	.85916823	.73303503	.92911154	.86353469	.88262194	.67785233	.69283539	.92244595	.94283539	.67785233	.9237805	72.0 (67.8-73.3)	91.2 (85.9-92.9)	86.4 (67.8-92.2)	88.3 (69.3-94.3)	67.8	92.4	5	1d
1e	.7445783	.87618148	.69959837	.82325143	.75903612	.89319474	.89959842	.85365856	.69959837	.66387194	.92771083	.88033539	.69959837	.88516259	74.5 (70.0-75.9)	87.6 (82.3-89.3)	90.0 (70.0-92.8)	85.4 (66.4-88.0)	70.0	88.5	6	1e
1f	.78330374	.83364838	.73357016	.78071833	.79928952	.85066164	.93605685	.80335367	.73357016	.62957317	.93605685	.80335367	.73357016	.83943087	78.3 (73.4-79.9)	83.4 (78.1-85.1)	93.6 (73.4-93.6)	80.3 (63.0-80.3)	73.4	83.9	7	1f
2	.82127661	.91209829	.77361703	.85916823	.83659577	.92911154	.9455319	.84679878	.77361703	.69283539	.9455319	.84679878	.77361703	.9237805	82.1 (77.4-83.7)	91.2 (85.9-92.9)	94.6 (77.4-94.6)	84.7 (69.3-84.7)	77.4	92.4	8	2
2a	.83840138	.91209829	.78974807	.85916823	.85403997	.92911154	.94960904	.83307928	.78974807	.69283539	.94960904	.83307928	.78974807	.9237805	83.8 (79.0-85.4)	91.2 (85.9-92.9)	95.0 (79.0-95.0)	83.3 (69.3-83.3)	79.0	92.4	9	2a
2b	.79799664	.90359169	.75125211	.85066164	.81302172	.92060494	.93989986	.85823172	.75125211	.68597561	.93989986	.85823172	.75125211	.91463417	79.8 (75.1-81.3)	90.4 (85.1-92.1)	94.0 (75.1-94.0)	85.8 (68.6-85.8)	75.1	91.5	10	2b
2c	.93459916	.83742911	.87552744	.78449905	.95358652	.85444236	.97046411	.7012195	.87552744	.63262194	.97046411	.7012195	.87552744	.84349591	93.5 (87.6-95.4)	83.7 (78.4-85.4)	97.0 (87.6-97.0)	70.1 (63.3-70.1)	87.6	84.3	11	2c
2d	.85274303	.83742911	.79884505	.78449905	.87006736	.85444236	.95187682	.753811	.79884505	.63262194	.95187682	.753811	.79884505	.84349591	85.3 (79.9-87.0)	83.7 (78.4-85.4)	95.2 (79.9-95.2)	75.4 (63.3-75.4)	79.9	84.3	12	2d
2e	.85660732	.86389416	.8041237	.81096411	.87347704	.88090736	.95313966	.77515244	.8041237	.65396339	.95313966	.77515244	.8041237	.87195122	85.7 (80.4-87.3)	86.4 (81.1-88.1)	95.3 (80.4-95.3)	77.5 (65.4-77.5)	80.4	87.2	13	2e
2f	.87448132	.79678637	.81639004	.74385631	.89315355	.81379962	.95643151	.70274389	.81639004	.59984756	.95643151	.70274389	.81639004	.79979676	87.4 (81.6-89.3)	79.7 (74.4-81.4)	95.6 (81.6-95.6)	70.3 (60.0-70.3)	81.6	80.0	14	2f
3	.70118576	.83837432	.65691698	.78544426	.715415	.85538751	.85375494	.82317072	.65691698	.63338417	.91620553	.88338417	.65691698	.84451222	70.1 (65.7-71.5)	83.8 (78.5-85.5)	85.4 (65.7-91.6)	82.3 (63.3-88.3)	65.7	84.5	15	3
3a	.76399654	.83837432	.71576226	.78544426	.77950042	.85538751	.93023258	.82317072	.71576226	.63338417	.93195522	.82469511	.71576226	.84451222	76.4 (71.6-78.0)	83.8 (78.5-85.5)	93.0 (71.6-93.2)	82.3 (63.3-82.5)	71.6	84.5	16	3a
3b	.79347825	.8279773	.74275362	.77504724	.80978262	.84499055	.93840581	.78963417	.74275362	.625	.93840581	.78963417	.74275362	.83333331	79.3 (74.3-81.0)	82.8 (77.5-84.5)	93.8 (74.3-93.8)	79.0 (62.5-79.0)	74.3	83.3	17	3b
3c	.8566879	.76275992	.7972399	.70982987	.8757962	.77977318	.9511677	.68292683	.7972399	.57240856	.9511677	.68292683	.7972399	.76321137	85.7 (79.7-87.6)	76.3 (71.0-78.0)	95.1 (79.7-95.1)	68.3 (57.2-68.3)	79.7	76.3	18	3c
3d	.79980177	.76275992	.74430126	.70982987	.81764126	.77977318	.93855304	.72179878	.74430126	.57240856	.93855304	.72179878	.74430126	.76321137	80.0 (74.4-81.8)	76.3 (71.0-78.0)	93.9 (74.4-93.9)	72.2 (57.2-72.2)	74.4	76.3	19	3d
3e	.79074073	.80718338	.73888886	.75425333	.80740738	.82419658	.93703705	.77134144	.73888886	.60823172	.93703705	.77134144	.73888886	.81097561	79.1 (73.9-80.7)	80.7 (75.4-82.4)	93.7 (73.9-93.7)	77.1 (60.8-77.1)	73.9	81.1	20	3e
3f	.85432637	.73724008	.79299015	.68431002	.87404162	.75425333	.95071197	.66158539	.79299015	.55182928	.95071197	.66158539	.79299015	.73577237	85.4 (79.3-87.4)	73.7 (68.4-75.4)	95.1 (79.3-95.1)	66.2 (55.2-66.2)	79.3	73.6	21	3f
